书名,评论,作者,推荐,出版社,日期,链接
命运（蔡崇达新书，畅销400万册《皮囊》作者长篇新作。刘德华、韩寒、白岩松、李敬泽、程永新联袂推荐！一个人的无常，所有人的命运）,86146条评论,蔡崇达，果麦文化 出品,100%推荐,浙江文艺出版社,2022-09-01,http://product.dangdang.com/29458883.html
全球最美的100个地方 图说天下 国家地理,383562条评论,《图书天下・国家地理系列》编委会,99.9%推荐,北京联合出版公司,2012-06-01,http://product.dangdang.com/22790547.html
DK博物大百科――自然界的视觉盛宴,246753条评论,英国DK公司,99.9%推荐,科学普及出版社,2018-09-01,http://product.dangdang.com/27887900.html
三毛流浪记（彩图注音读物）,630076条评论,张乐平   著,99.9%推荐,少年儿童出版社,2017-06-01,http://product.dangdang.com/25106955.html
山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪中岛敦笔下的中国物语，常年入选日本国语教材）【果麦经典】,229074条评论,（日）中岛敦，译者 徐建雄，绘者 撒旦君，果麦文化 出品,99.9%推荐,三秦出版社,2019-02-01,http://product.dangdang.com/26514431.html
中国古代神话 快乐读书吧四年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 6万多名读者热评！,96414条评论,闻钟主编,100%推荐,南方出版社,2019-06-01,http://product.dangdang.com/27898031.html
红楼梦 四大名著 高中语文“读整本书”推荐阅读 全本120回（足本典藏精装 无障碍阅读 疑难字注音 解词释义）15万多读者热评！,162638条评论,曹雪芹,99.9%推荐,商务印书馆,2016-04-01,http://product.dangdang.com/23992016.html
斯凯瑞金色童书・益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金色童书・第一辑）,398831条评论,【美】理查德・斯凯瑞,99.7%推荐,贵州人民出版社,2019-05-01,http://product.dangdang.com/27852072.html
早起的奇迹,82520条评论,[美]哈尔・埃尔罗德（Hal Elrod）；易伊 译；中资海派  出品,100%推荐,广东人民出版社,2018-02-01,http://product.dangdang.com/25229707.html
大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文、阅读、古诗、古文一网打尽。,137394条评论,赵旭,100%推荐,北京理工大学出版社,2020-10-01,http://product.dangdang.com/29194673.html
丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）,207437条评论,莫言,100%推荐,浙江文艺出版社,2020-03-01,http://product.dangdang.com/28531227.html
变量4：大国的腾挪（熬过去，就是海阔天空！看智慧的中国人如何腾挪自如、走出困境）,32470条评论,何帆 著，得到图书 出品,99.9%推荐,新星出版社,2022-01-04,http://product.dangdang.com/29346003.html
论语译注（简体字本） 修订新版,391015条评论,杨伯峻 译注,99.9%推荐,中华书局,2017-08-01,http://product.dangdang.com/25163221.html
东野圭吾：透明的螺旋（东野圭吾新书，《嫌疑人X的献身》系列新作！你，准备好逃出悲剧的循环了吗？）,64810条评论,（日）东野圭吾  著 ， 新经典  出品,100%推荐,南海出版公司,2022-04-01,http://product.dangdang.com/29389578.html
悠悠岁月（2022年诺贝尔文学奖得主安妮・埃尔诺作品）,61803条评论,（法）安妮・埃尔诺（AnnieErnaux） 著 吴岳添 译,99.9%推荐,人民文学出版社,2021-05-01,http://product.dangdang.com/29256580.html
围城,285497条评论,钱钟书,99.9%推荐,人民文学出版社,2017-06-01,http://product.dangdang.com/25095529.html
是谁嗯嗯在我的头上――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本！,340894条评论,文/维尔纳霍・尔茨瓦特，图/沃尔夫・埃布鲁赫，方素珍 译,99.8%推荐,河北教育出版社,2019-11-01,http://product.dangdang.com/27942700.html
复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本）,55857条评论,〔俄〕列夫・托尔斯泰 著   草婴 译,99.9%推荐,时代文艺出版社,2019-10-30,http://product.dangdang.com/28473429.html
茶花女 世界名著典藏,81809条评论,（法）小仲马　著，李玉民　译 万亭文化 出品,99.9%推荐,中央编译出版社,2015-01-01,http://product.dangdang.com/23645228.html
文化苦旅（余秋雨亲定版本，了解中国文化脉络的经典著作，三代人共读的文学典范，中国家长送给子女更多的一本书）,98533条评论,余秋雨 著，磨铁文化 出品,100%推荐,北京联合出版有限公司,2020-05-01,http://product.dangdang.com/28541326.html
曾国藩传（张宏杰新作）,139908条评论,张宏杰 著，磨铁文化 出品,100%推荐,民主与建设出版社,2019-01-01,http://product.dangdang.com/26289139.html
罪与罚（刑法学罗翔老师推荐版本，用爱和生活去对抗痛苦！）【果麦经典】,154988条评论,陀思妥耶夫斯基，译者：曾思艺，果麦文化 出品,100%推荐,浙江文艺出版社,2019-02-01,http://product.dangdang.com/26490763.html
米小圈上学记二年级（套装共4册）,469010条评论,北猫,100%推荐,四川少年儿童出版社,2018-04-01,http://product.dangdang.com/25261323.html
盛和塾指定学习教材 干法 最新平装本,172252条评论,[日] 稻盛和夫 著，曹岫云 译,100%推荐,机械工业出版社,2021-07-01,http://product.dangdang.com/29298908.html
沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选”！依据王小波手稿、生前定稿修订多年讹误，SHOU度以读者视角排定蕞佳阅读顺序。）,382689条评论,王小波  著 ， 新经典  出品,100%推荐,北京十月文艺出版社,2021-01-01,http://product.dangdang.com/29176568.html
罗尔德・达尔作品典藏 了不起的狐狸爸爸,693055条评论,罗尔德・达尔,99.9%推荐,明天出版社,2009-03-01,http://product.dangdang.com/25110012.html
大侦探福尔摩斯（第1辑）（全6册）,216614条评论,柯南・道尔 著；厉河 编；余远�B 绘；海豚传媒出品,100%推荐,湖北教育出版社,2018-02-01,http://product.dangdang.com/25224595.html
少有人走的路：心智成熟的旅程（白金升级版）,241356条评论,[美]M.斯科特・派克(M.Scott Peck)  ，译者：于海生  严冬冬  ，正清出品,100%推荐,北京联合出版有限公司,2020-10-20,http://product.dangdang.com/29139774.html
罗尔德・达尔作品典藏 查理和巧克力工厂,400380条评论,罗尔德・达尔,99.9%推荐,明天出版社,2009-03-01,http://product.dangdang.com/25110008.html
妈妈买绿豆（3-8岁） 信谊幼儿文学奖,194414条评论,曾阳晴 著，万华国 绘,100%推荐,明天出版社,2019-08-01,http://product.dangdang.com/27924057.html
天堂旅行团（继《全世界》《云边》之后，张嘉佳新书2021全新长篇力作）,153494条评论,"张嘉佳 著,博集天卷 出品",100%推荐,湖南文艺出版社,2021-08-01,http://product.dangdang.com/29288121.html
泰戈尔诗集：新月集・飞鸟集（泰戈尔诗选+《泰戈尔传》。语文教材“名著导读”经典・九年级上）,159082条评论,(印) 泰戈尔 著，郑振铎  译,100%推荐,浙江工商大学出版社,2018-04-09,http://product.dangdang.com/25251934.html
傅雷家书,135368条评论,"傅雷 著,酷威文化 出品",100%推荐,万卷出版公司,2021-01-01,http://product.dangdang.com/29150685.html
阿Q正传（收录鲁迅《阿Q正传》《狂人日记》《药》等17个中短篇小说）,234768条评论,鲁迅  著,99.6%推荐,北京联合出版公司,2014-12-01,http://product.dangdang.com/23629643.html
陪孩子走过小学六年（全新增订版）（新版）,140151条评论,刘称莲 著，磨铁文化 出品,100%推荐,北京联合出版公司,2019-07-23,http://product.dangdang.com/27907989.html
天蓝色的彼岸（赠书签）,334894条评论,[英]亚历克斯・希勒/著；吕良忠/译     禹田文化  出品,99.8%推荐,北京联合出版有限公司,2019-03-01,http://product.dangdang.com/26483740.html
没头脑和不高兴（注音版）,524990条评论,任溶溶,100%推荐,浙江少年儿童出版社,2021-08-01,http://product.dangdang.com/29291249.html
恶意（东野圭吾四大杰作之一。最大的恶意不是杀了你，而是毁了你。颠覆推理，直面人性深渊！2022新译本）,878843条评论,东野圭吾  著 ，新经典  出品,100%推荐,南海出版公司,2022-01-01,http://product.dangdang.com/29354040.html
心流：最优体验心理学,159455条评论,(美)米哈里・契克森米哈赖 著；张定绮 译,100%推荐,中信出版社,2017-12-01,http://product.dangdang.com/25183660.html
围城,1217967条评论,钱钟书　著,99.8%推荐,人民文学出版社,1991-02-01,http://product.dangdang.com/22819334.html
职场晋升101（学会本书一小半，骑着火箭往上蹿！30万人验证过的职场干货，解决长期痛点！努力工作非常重要，升职加薪另有诀窍！）,37919条评论,崔璀；读客文化 出品,100%推荐,江苏凤凰文艺出版社,2022-04-01,http://product.dangdang.com/29387284.html
趣说中国史：如果把中国422位皇帝放在一个群里，他们会聊些什么？,218337条评论,趣哥 著,100%推荐,台海出版社,2020-11-01,http://product.dangdang.com/29151341.html
小王子,78149条评论,(法) 圣埃克苏佩里、郑克鲁译,99.9%推荐,浙江工商大学出版社,2018-07-19,http://product.dangdang.com/29393900.html
小学生思维方式漫画（用前人的经验优化自己的思维模式，让学习和成长事半功倍。全2册。歪歪兔童书馆出品）,24205条评论,歪歪兔童书馆著绘,100%推荐,海豚出版社,2021-11-01,http://product.dangdang.com/29354224.html
青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园青少年版四五六年级下册小学生课外阅读书籍全套原版完整版,508001条评论,曹文轩,99.9%推荐,江苏少年儿童出版社,2016-04-01,http://product.dangdang.com/23949032.html
城南旧事（《语文》阅读丛书）人民文学出版社,95461条评论,林海音,100%推荐,人民文学出版社,2018-05-01,http://product.dangdang.com/25275955.html
愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教养旅程，聊一聊关于教养的真心话，感受孩子成长的真实意义。）,245858条评论,刘瑜、周国平等，联合读创   出品,100%推荐,北京联合出版有限公司,2018-01-01,http://product.dangdang.com/25193588.html
小英雄雨来 （读经典，悼念不朽的少年英雄，传承红色爱国思想。新版本，手绘精美插图）,105317条评论,管桦；小当当童书馆出品,100%推荐,辽宁少年儿童出版社,2019-04-01,http://product.dangdang.com/27869317.html
童年 快乐读书吧六年级上指定阅读 《语文》阅读丛书 人民文学出版社,165234条评论,（苏）高尔基,100%推荐,人民文学出版社,2018-07-01,http://product.dangdang.com/25307380.html
这就是物理（函套10册）,251439条评论,约瑟夫・米森（Joseph Midthun） 萨缪・希提（Sam Hiti）,100%推荐,北京理工大学出版社,2019-07-01,http://product.dangdang.com/27909879.html
半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，人生哲理全学到！混子哥陈磊新作！）,68134条评论,陈磊・半小时漫画团队；读客文化 出品,100%推荐,文汇出版社,2021-09-30,http://product.dangdang.com/29308991.html
稻草人 快乐读书吧 三年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 300000多名读者热评！,389535条评论,叶圣陶著,99.9%推荐,时代文艺出版社,2012-06-01,http://product.dangdang.com/22854397.html
朝花夕拾(语文教材“名著导读”经典・七年级上。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图),93314条评论,鲁迅 著,100%推荐,时代文艺出版社,2020-04-21,http://product.dangdang.com/28535531.html
崔玉涛育儿百科,165682条评论,崔玉涛,100%推荐,中信出版社,2018-12-31,http://product.dangdang.com/26312676.html
纳瓦尔宝典：从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录,93750条评论,埃里克・乔根森,100%推荐,中信出版社,2022-05-31,http://product.dangdang.com/29393845.html
面纱（毛姆作品）,139777条评论,【英】毛姆，果麦文化 出品,100%推荐,江西人民出版社,2016-05-04,http://product.dangdang.com/23950046.html
如果历史是一群喵1-10全集（共10册）,52352条评论,肥志编绘，漫友文化出品,99.9%推荐,广东旅游出版社,2022-04-01,http://product.dangdang.com/29392942.html
山海经（白话全译彩图版珍藏版）,376517条评论,徐客  著    紫图图书   出品,99.8%推荐,现代出版社,2012-03-01,http://product.dangdang.com/22627427.html
父母的语言：3000万词汇塑造更强大的学习型大脑,268702条评论,[美]达娜・萨斯金德（Dana Suskind），MD 贝丝・萨斯金德（Bet,100%推荐,机械工业出版社,2021-06-15,http://product.dangdang.com/29252406.html
草房子：六年级推荐课外阅读书/曹文轩纯美小说系列,549817条评论,曹文轩,99.9%推荐,江苏凤凰少年儿童出版社,2016-04-01,http://product.dangdang.com/23953627.html
绝叫（罗翔推荐，某瓣8.9分年度推理top①社会派现象级神作，长达四十年恶女编年史，怀才者的自怜是天鹅的挽歌，平庸者的崩坏是野兽的绝叫。）,107289条评论,叶真中显 著 林佩瑾 译 联合读创 出品,99.9%推荐,北京联合出版有限公司,2020-07-01,http://product.dangdang.com/28992227.html
山海经 快乐读书吧 四年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多名读者热评！,124675条评论,（晋）郭璞 注,100%推荐,南方出版社,2019-06-01,http://product.dangdang.com/27898728.html
一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）,215565条评论,〔奥〕斯蒂芬・茨威格 著  高中甫 韩耀成 译,99.9%推荐,时代文艺出版社,2017-09-01,http://product.dangdang.com/25126131.html
呼兰河传(《语文》推荐阅读丛书)人民文学出版社,167095条评论,萧红,100%推荐,人民文学出版社,2018-04-01,http://product.dangdang.com/25283736.html
论语（国学启蒙经典系列。全文注音+详尽注释+精准翻译，无需古文基础，也能轻松读懂）,129312条评论,张圣洁 主编；闫立君、刘汛涛 副主编,100%推荐,浙江教育出版社,2019-01-01,http://product.dangdang.com/26487781.html
了不起的我：自我发展的心理学（陈海贤重磅新作，得到付费用户亲测有效 ）,190101条评论,陈海贤 著; 得到图书 出品,100%推荐,台海出版社,2019-11-01,http://product.dangdang.com/28469677.html
地心游记（银火箭少年科幻系列・第2辑，又译《地心历险记》，经典探险科幻小说，引发孩子对自然宇宙的思考）,52043条评论,［法］儒勒・凡尔纳 著 陈筱卿译；小当当童书馆 出品,100%推荐,民主与建设出版社,2020-04-01,http://product.dangdang.com/28532004.html
动物农场（乔治・奥威尔经典的讽喻之作 ，也译“动物庄园”，后附英文版）,94514条评论,〔英〕乔治・奥威尔 著，姜希颖 译,100%推荐,时代文艺出版社,2018-03-01,http://product.dangdang.com/25229341.html
"度阴山讲了凡四训（真想改变命运,就读《了凡四训》！《知行合一王阳明》作者度阴山翻译、注释、解读）新老版随机发货！",39588条评论,[明] 袁了凡 度阴山；读客文化 出品,100%推荐,河南文艺出版社,2022-05-01,http://product.dangdang.com/29404391.html
郑渊洁四大名传：皮皮鲁传,450370条评论,郑渊洁,99.4%推荐,浙江少年儿童出版社,2015-12-01,http://product.dangdang.com/29212906.html
不可思议的文明奇迹 涵盖历史地理多学科领域 精装版,67889条评论,郭子林,100%推荐,石油工业出版社,2022-03-01,http://product.dangdang.com/29346297.html
昆虫记 八年级上 名著阅读课程化丛书 导读版 人民教育出版社,203669条评论,（法）亨利.法布尔 著，陈筱卿 译,100%推荐,人民教育出版社,2017-08-01,http://product.dangdang.com/25171990.html
一千零一夜 快乐读书吧五年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读彩插励志版 5万多名读者热评！,59617条评论,邵珠磊编写,100%推荐,南方出版社,2019-06-01,http://product.dangdang.com/27898033.html
【当当专享金属贴纸+手写信+书单】梁永安：阅读、游历和爱情（宝藏教授B站up主梁永安新作，在不确定的时代，做确定的自己）,69504条评论,梁永安,100%推荐,北京时代华文书局,2022-05-01,http://product.dangdang.com/29398939.html
柳林风声（经典插图本，充满浪漫和友爱的动物童话。儿童文学翻译家张炽恒未删节全译）,150096条评论,[英] 肯尼思・格雷厄姆  著；张炽恒  译,100%推荐,北京联合出版公司,2016-12-01,http://product.dangdang.com/24157839.html
学会爱自己（全3辑 套装共14册 ）防性侵，安全意识、行为习惯培养绘本,403564条评论,珊蒂克雷文，茱蒂柏斯玛等,99.8%推荐,青岛出版社,2016-02-01,http://product.dangdang.com/23851466.html
昆虫记（《语文》推荐阅读丛书）八年级上册推荐阅读 人民文学出版社,145864条评论,(法)亨利・法布尔,100%推荐,人民文学出版社,2018-05-01,http://product.dangdang.com/25275964.html
青：陪安东尼度过漫长岁月5,70709条评论,安东尼,100%推荐,湖南文艺出版社,2022-04-01,http://product.dangdang.com/29381624.html
白鹿原（全书含陈忠实代表作白鹿原+信任+蚕儿+霞光灿烂的早晨，央视《读书》两次推荐版本。）,182058条评论,陈忠实,99.9%推荐,作家出版社,2019-03-28,http://product.dangdang.com/26913843.html
水浒传（上下册，全两册，中国古典文学读本丛书）（团购电话:400-1066666转6）,301329条评论,"（明）施耐庵 ,罗贯中 著",99.5%推荐,人民文学出版社,2004-09-01,http://product.dangdang.com/105272.html
小兔子学花钱系列（完整版・全4册）：3~7岁财商启蒙，学花钱、学赚钱、学存钱、学捐钱！3岁对钱有概念，7岁会管零花钱,196456条评论,（加）辛德斯・麦克劳德 (Cinders McLeod)；读客文化 出品,100%推荐,河南文艺出版社,2021-09-09,http://product.dangdang.com/29287731.html
瓦尔登湖（瓦尔登湖畔，不只是身体的栖息之所，更是精神的沉思之地）,249530条评论,（美）亨利戴维梭罗,99.5%推荐,作家出版社,2015-12-01,http://product.dangdang.com/23828561.html
一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）,61134条评论,〔奥〕斯蒂芬・茨威格 著  高中甫 韩耀成 译,99.9%推荐,时代文艺出版社,2017-09-01,http://product.dangdang.com/29329673.html
双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权威译本。）,74837条评论,（英）查尔斯・狄更斯著 宋兆霖译 知书达礼 出品,99.9%推荐,台海出版社,2020-07-01,http://product.dangdang.com/28990834.html
这就是二十四节气：升级版 全四册(文津图书奖获奖图书，请认准正版，朱永新教授、周成虎院士推荐，畅销500万册),730494条评论,高春香、邵敏/著；许明振、李婧/绘,99.9%推荐,海豚出版社,2019-11-01,http://product.dangdang.com/27950672.html
亲密关系（第6版）（百科全书式的两性心理专著，社会心理学精品译丛书系，豆瓣9.3分，津巴多和彭凯平专文推荐）,132462条评论,罗兰・米勒 ， 新曲线 出品,99.9%推荐,人民邮电出版社,2015-07-01,http://product.dangdang.com/23742958.html
小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）,360069条评论,博多・舍费尔,100%推荐,中信出版社,2021-12-10,http://product.dangdang.com/29343067.html
艾青诗选（《语文》推荐阅读丛书 人民文学出版社）,218557条评论,王晓编选,100%推荐,人民文学出版社,2018-04-01,http://product.dangdang.com/25267186.html
就喜欢你看不惯我又干不掉我的样子6,47292条评论,白茶,99.9%推荐,人民文学出版社,2022-04-01,http://product.dangdang.com/29386321.html
养育男孩（典藏版）,631278条评论,(澳) 史蒂夫・比达尔夫,99.9%推荐,中信出版社,2019-09-10,http://product.dangdang.com/27922796.html
秋园（女性版《活着》，80岁素人作家不朽名篇，横扫国内十二项文学大奖）,92664条评论,杨本芬 |乐府文化,100%推荐,北京联合出版有限公司,2020-06-01,http://product.dangdang.com/28535816.html
我的第一本地理启蒙书,980166条评论,郑利强 段虹(绘) 步印童书 出品,100%推荐,新世界出版社,2016-06-01,http://product.dangdang.com/23967348.html
鲁滨孙漂流记(语文教材“快乐读书吧”六年级下阅读，也译《鲁滨逊漂流记》),143822条评论,"[英] 丹尼尔・笛福  著 ,  王晋华  译",99.9%推荐,浙江工商大学出版社,2017-03-01,http://product.dangdang.com/24187625.html
全球通史:从史前史到21世纪（第7版修订版上下册，赠送全球通史主题笔记本）,486776条评论,（美）斯塔夫里阿诺斯  著，吴象婴  等译,99.7%推荐,北京大学出版社,2006-10-01,http://product.dangdang.com/9231298.html
傅雷家书:学生读本（八年级下！傅雷家人授权！非公版收录！附赠64P名师导读导练)团购电话:4001066666转6,572033条评论,傅雷、朱梅馥、傅聪、傅敏著，傅敏 编,100%推荐,译林出版社,2020-01-01,http://product.dangdang.com/28512674.html
四大名著套装 西游记 红楼梦 三国演义 水浒传 五年级下册快乐读书吧推荐阅读 青少版无障碍阅读 中小学生课外阅读指导丛书共4册 12万读者好评！,158760条评论,吴承恩，施耐庵，曹雪芹，罗贯中，,99.8%推荐,时代文艺出版社,2012-07-01,http://product.dangdang.com/23276506.html
道德经（中华经典名著全本全注全译-三全本）,85664条评论,张景，张松辉  译注,100%推荐,中华书局,2021-05-15,http://product.dangdang.com/29242306.html
克雷洛夫寓言 快乐读书吧 三年级下册课外阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 12万多名读者热评！,165736条评论,(俄) 克雷洛夫,100%推荐,南方出版社,2021-04-01,http://product.dangdang.com/23197945.html
"从零开始的女性主义（豆瓣2021年度最受关注图书,上野千鹤子给所有人的女性主义普及课）",86104条评论,[日]上野千鹤子、田房永子,100%推荐,北京联合出版有限公司,2021-09-01,http://product.dangdang.com/29298862.html
爷爷一定有办法（3-8岁）信谊世界精选图画书,117158条评论,[加] 菲比・吉尔曼 著；宋�� 译,100%推荐,明天出版社,2013-04-01,http://product.dangdang.com/29148110.html
孤独的小螃蟹 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注音有声朗读 二年级课外阅读,59036条评论,冰波,100%推荐,商务印书馆,2019-06-01,http://product.dangdang.com/27883646.html
人生的枷锁（又译《人性的枷锁》，毛姆自认的完美作品，写给在现实中迷茫的每一个人）,104949条评论,[英]威廉・萨默赛特・毛姆 著，黄水乞 译,99.8%推荐,作家出版社,2016-09-01,http://product.dangdang.com/24025897.html
一日三秋（刘震云睽违四年新作，用幽默化解成年人的崩溃瞬间，人生中总有一日胜过三秋）,78382条评论,刘震云，长江新世纪 出品,100%推荐,花城出版社,2021-07-01,http://product.dangdang.com/29263282.html
阅读是一座随身携带的避难所（罗翔推荐版本。“阅读应该是愉悦的，怎么思考就有怎么样的人生”。）,96129条评论,毛姆 著，夏高娃 译，果麦文化 出品,100%推荐,江西人民出版社,2020-07-01,http://product.dangdang.com/28985457.html
半小时漫画宇宙大爆炸（半小时读完138亿年宇宙史，一口气搞懂大爆炸、奇点、黑洞、引力波、暗物质……）新老版随机发货,49124条评论,陈磊・半小时漫画团队；读客文化 出品,100%推荐,浙江科学技术出版社,2021-11-08,http://product.dangdang.com/29322640.html
快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅行记 爱丽丝漫游仙境 课外阅读套装共4册 中小学生课外阅读无障碍阅读,67250条评论,马克 吐温，笛福，塞尔玛 拉格洛夫，卡罗尔，,99.9%推荐,时代文艺出版社,2018-11-01,http://product.dangdang.com/25577734.html
习近平谈治国理政（第四卷）（中文平装）,条评论,习近平,0%推荐,外文出版社,2022-06-30,http://product.dangdang.com/29423652.html
长安客（《狂飙》高启强扮演者张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王维、白居易、元稹等八位诗人的命运特写）,165105条评论,北溟鱼，果麦文化 出品,100%推荐,天津人民出版社,2020-05-01,http://product.dangdang.com/28558256.html
在教室说错了没关系（快速适应小学课堂，勇敢表达自我观点，培养孩子自信心）,414615条评论,著 （日）莳田晋至，绘 （日）长谷川知子,100%推荐,青岛出版社,2017-02-01,http://product.dangdang.com/24194575.html
八次危机：中国的真实经验1949-2009,126796条评论,温铁军等著,99.9%推荐,东方出版社,2013-01-01,http://product.dangdang.com/22917090.html
你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）,532112条评论,"卢思浩 著,博集天卷 出品",100%推荐,湖南文艺出版社,2022-09-26,http://product.dangdang.com/29460961.html
富爸爸穷爸爸（新版本）当当投资理财类图书！本版随书附赠价值198元的“小白财商在线课程”,579600条评论,【美】罗伯特・清崎    萧明 译,100%推荐,四川人民出版社,2019-08-01,http://product.dangdang.com/27902388.html
小妇人（写给所有女孩，全新精装典藏版，翻译家贾辉丰倾情译作。内封复刻1868年初版，特种红纸烫金）,70570条评论,[美]路易莎・梅・奥尔科特，创美工厂出品,100%推荐,中国友谊出版公司,2021-12-01,http://product.dangdang.com/29343185.html
致我独一无二的宝贝（父母写给孩子的人生情书，一份以爱为名义的心灵庇护伞。联合国秘书长安东尼奥・古特雷斯高度评价，母婴育儿大V小土大橙子翻译，荣获独立图书*奖）,107512条评论,（美）沙尼・金 著，（瑞士）安娜・霍瓦特 绘，小土大橙子 译,100%推荐,湖南美术出版社,2020-10-14,http://product.dangdang.com/29131992.html
始于极限：女性主义往复书简（上野千鹤子蕞新代表作，万千读者共鸣的坦诚对话，“皱巴巴的心都被熨平了”）,182952条评论,（日）上野千鹤子，（日）铃木凉美 著，新经典  出品,100%推荐,新星出版社,2022-08-01,http://product.dangdang.com/29458676.html
苍兰诀 （当当专享人气画手眠狼绘制印刷海报）九鹭非香,63240条评论,九鹭非香 著，酷威文化 出品,99.9%推荐,四川文艺出版社,2021-02-01,http://product.dangdang.com/29171895.html
厌女：日本的女性嫌恶,83614条评论,上野千鹤子,100%推荐,上海三联书店,2015-05-01,http://product.dangdang.com/27872870.html
乡土中国（精装定制版）,325092条评论,费孝通,99.8%推荐,人民出版社,2015-05-01,http://product.dangdang.com/23678069.html
他在云之南（人气作家景行燃情悬爱力作！随书附赠“追光”书签。）,62247条评论,景行  白马时光  出品,100%推荐,百花文艺出版社,2020-04-01,http://product.dangdang.com/28541672.html
画给孩子的中国神话 : 精装彩绘本,80951条评论,施英巍著 知书达礼 出品,99.9%推荐,吉林美术出版社,2020-04-01,http://product.dangdang.com/28541713.html
不能不懂的编程 我是学霸 给孩子的创新编程启蒙绘本,53102条评论,项华,100%推荐,北京联合出版有限公司,2021-09-01,http://product.dangdang.com/29281295.html
兄弟（余华巅峰之作！有的人活着，生死疲劳；有的人活着，任性逍遥。一部真正伟大又好看的小说。2022新版）,97856条评论,余华  著 ，新经典  出品,100%推荐,北京十月文艺出版社,2022-07-01,http://product.dangdang.com/29424506.html
罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号书迷）,461486条评论,［日］芥川龙之介 著，高慧勤 译,100%推荐,时代文艺出版社,2017-12-01,http://product.dangdang.com/25190564.html
遥远的救世主+天幕红尘+天局（王志文主演电视剧《天道》原著小说矫健豆豆三部曲一套书读懂世界。）,80054条评论,豆豆 矫健 著,99.8%推荐,作家出版社,2020-07-22,http://product.dangdang.com/28992967.html
被欺负了，可以打回去吗（解决父母的世纪难题，告诉孩子被欺负了该怎么办，小杨叔叔送给3-6岁孩子的冲突教育绘本）,73248条评论,小杨叔叔,100%推荐,新世界出版社,2021-07-01,http://product.dangdang.com/29265559.html
考试脑科学 脑科学中的高效记忆法（图灵出品）,202586条评论,[日]池谷裕二,100%推荐,人民邮电出版社,2021-03-01,http://product.dangdang.com/29222270.html
