ID,名称,地区,类别,上映日期
343,2015年美国6.5分科幻片《幻体：续命游戏》BD中英双字修复版,美国,科幻/悬疑/惊悚,"分  6.5/10 from 13,598 users"
344,2015年美国6.9分悬疑恐怖片《女巫》BD中英双字,美国/英国/加拿大/巴西,悬疑/恐怖,2015-01-27(圣丹斯电影节)/2016-02-19(美国)
345,2016年美国6分恐怖动作片《傲慢与偏见与僵尸》BD中英双字,美国/英国,动作/爱情/恐怖,2016-02-05(美国)
346,2016年梁家辉佟大为悬疑犯罪片《冰河追凶》HD中英双字,中国大陆,动作/悬疑/犯罪,2016-04-15(中国大陆)
347,2016年美国6.3分喜剧爱情片《单身指南/单身啪啪啪》BD中英双字,美国,喜剧/爱情,2016-02-12(美国)
348,2015年沈腾马丽喜剧爱情片《夏洛特烦恼》BD国语中字,中国大陆,喜剧/爱情,2015-09-30(中国大陆)
349,2016年美国7.6分科幻悬疑片《科洛弗道10号》BD中英双字,美国,动作/悬疑/科幻/惊悚,2016-03-11(美国)
350,2016年国产古装武侠片《箭士柳白猿/箭客柳白猿》HD中英双字,中国大陆,剧情/武侠/古装,2016-03-11(中国大陆)/2012-11-11(金马影展)
351,2015年韩国7.2分剧情动作片《老手/辣手警探》BD韩语中字,韩国,剧情/动作,2015-08-05(韩国)
352,2016年美国6分惊悚恐怖片《灵偶契约/小男孩》BD中英双字,美国,恐怖/惊悚,2016-04-01(中国大陆)/2016-01-22(美国)
353,2015年郭富城悬疑犯罪片《踏血寻梅》BD国粤双语中字,中国香港,剧情/悬疑/犯罪,2015-04-06(香港国际电影节)/2015-12-03(香港)
354,2015年赵又延姚晨惊悚冒险片《九层妖塔》BD国语中字,中国大陆,动作/惊悚/冒险,2015-09-30(中国大陆)
355,2016年韩国7.7分剧情片《鬼乡》BD韩语中字,韩国,剧情,2015-11-26(香港)
356,2015年美国6.6分喜剧传记片《奋斗的乔伊/拖把女王》BD中英双字,美国,剧情/喜剧/传记,2015-11-26(香港)
357,2016年国产奇幻片《西游记之孙悟空三打白骨精》BD国粤双语中字,中国大陆/香港,喜剧/动作/奇幻,2016-02-08(中国大陆)
358,2015年张家辉郭采洁惊悚片《陀地驱魔人》BD国粤双语中字,香港,剧情/惊悚,2015-11-26(香港)
359,2016年杨千�镁缜榘�情片《哪一天我们会飞》HD国粤双语中字,中国香港,爱情,2016-03-10(中国大陆)/2015-11-05(香港)
360,2016年美国8.3分惊悚冒险片《荒野猎人》BD中英双字,美国,冒险/剧情/惊悚,2016-03-18(中国大陆)/2015-12-16(美国加州)/2016-01-08(美国)
361,假期经典甄子丹杨紫琼武侠《卧虎藏龙：青冥宝剑》BD国粤双语中字,中国大陆/美国,剧情/动作/武侠/古装,2016-02-19(中国大陆)/2016-02-26(美国)
362,2015年郑恺陈妍希喜剧爱情片《年少轻狂》HD国语中字, 中国大陆, 喜剧/爱情,2015-11-13(中国大陆)
363,2015年美国6.8分喜剧剧情片《与外婆同行》BD中英双字,美国,剧情/喜剧/同性/家庭,2015-09-18(美国)
364,2015年刘青云林家栋犯罪片《消失的凶手》BD国粤双语中字, 中国大陆/香港, 动作/悬疑/犯罪,2015-11-27(中国大陆)
365,2015年赵薇黄晓明喜剧动作片《横冲直撞好莱坞》BD国语中字,中国大陆/香港/美国,喜剧/动作/冒险,2015-06-26(中国大陆)/2015-08-27(香港)
366,2016年王大治喜剧战争片《我不是王毛》HD中英双字,中国大陆,  喜剧 / 战争,2016-03-11(中国大陆)
367,2015年美国动作犯罪片《极盗者/极限追捕》BD国英双语双字,美国/中国大陆,动作/犯罪/运动,2015-12-04(中国大陆)/2015-12-25(美国)
368,2015年方力申邓丽欣喜剧片《分手再说我爱你》BD国粤双语中字, 中国大陆/香港, 喜剧/爱情, 2015-12-24(中国大陆)/2015-12-31(香港)
369,2015年美国8分西部犯罪片《八恶人》BD中英双字精校版,美国,剧情/犯罪/西部,2015-12-07(洛杉矶首映)/2015-12-30(美国)
370,2016年杜江薛凯琪喜剧爱情片《高跟鞋先生》HD中英双字,中国大陆,喜剧/爱情,  2016-02-14(中国大陆)/2016-03-10(香港)
371,2016年杨颖阮经天爱情悬疑片《谋杀似水年华》HD国语中字,中国大陆/香港, 爱情/悬疑,  2016-02-14(中国大陆)/2016-03-10(香港)
372,2015年美国7.3分冒险片《史努比：花生大电影》BD国粤英3语双字,美国,喜剧/动画/冒险,2015-11-06(美国/中国大陆)
373,2015年美国7分冒险片《饥饿游戏3：嘲笑鸟(下)》BD中英双字,美国,动作/科幻/冒险,"分　7.0/10 from 95,465 use"
374,2016年甄子丹张晋剧情动作片《叶问3》BD国粤双语中字,中国香港,动作/传记/剧情,2016-03-04(中国大陆)/2015-12-24(香港)
375,2015年王宝强郭富城喜剧动作片《道士下山》BD国语中字,中国,新丽传媒股份有限公司,中英双字幕
376,2015年林依晨周渝民喜剧爱情片《杜拉拉追婚记》BD国语中字,中国大陆,喜剧/爱情, 2015-12-04(中国大陆)
377,2016年赵本山闫妮喜剧片《过年好》HD中英双字,中国大陆,喜剧,2016-02-01(中国大陆)
378,2015年美国6.4分喜剧片《泰迪熊2/贱熊2》BD中英双字,美国,喜剧,2015-06-26(美国)
379,2015年徐峥包贝尔喜剧片《人再�逋局�港��/港�濉�BD国语中字,喜剧,汉语普通话,分　5.8/10 from 350 users
380,2015年美国7.4分剧情片《裁缝/恶女订制服》BD中英双字,澳大利亚,剧情,2015-10-29(澳大利亚)
381,2016年章子怡彭于晏剧情爱情片《奔爱》HD中英双字,中国大陆,剧情/爱情,2016-02-14(中国大陆)
382,2015年美国7.9分剧情传纪片《大空头/大卖空》BD中英双字,美国,剧情/传记,2016-01-23(中国大陆)/2016-01-21(香港)
383,2016年任达华霍建华悬疑犯罪片《真相禁区》HD中英双字,中国大陆,悬疑/犯罪,2016-01-22(中国大陆)
384,2015年孙俪邓超喜剧片《恶棍天使》HD中英双字,中国大陆,喜剧,2015-12-24(中国大陆)
385,2015年美国7分动作冒险片《海洋深处/海洋之心》BD中英双字,美国,剧情/动作/冒险,2015-09-25(西班牙)
386,2015年加拿大8.3分剧情家庭片《房间/抖室》BD中英双字,爱尔兰/加拿大,剧情/家庭, 2015-09-15(多伦多国际电影节)
387,2015年美国6.9分爱情传纪片《丹麦女孩》BD中英双字,英国/德国/美国,剧情/爱情/传记,2015-12-25(美国)/2015-09-05(威尼斯电影节)
388,2016年黄渤孙红雷喜剧悬疑片《极限挑战之皇家宝藏》HD国语中字,中国大陆,喜剧/悬疑,2016-01-15(中国大陆)
389,2015年美国动作犯罪片《玩命速递：重启之战》BD国英双语双字,法国/中国大陆/比利时,动作/犯罪/惊悚,2015-09-04(美国)/2015-09-09(法国)/2015-11-20(中国大陆)
390,2016年张国立姚晨剧情家庭片《一切都好》HD中英双字,中国大陆,剧情/家庭,2016-01-01(中国大陆)
391,2015年陈坤黄渤动作冒险片《寻龙诀》BD国语中字, 中国大陆, 剧情/动作/奇幻/冒险,2015-12-18(中国大陆)
392,2015年舒淇彭于晏剧情爱情片《剩者为王》BD国语中字,中国大陆/香港,剧情/爱情,2015-11-06(中国大陆)
393,2016年美国7.4分剧情传记片《史蒂夫・乔布斯》BD中英双字,美国,剧情/传记,2015-10-23(美国)
394,2015年美国6.9分悬疑惊悚片《猩红山峰》BD中英双字重制版,美国/加拿大,剧情/悬疑/奇幻/惊悚,2015-10-16(美国)
395,2016年英国8.7悬疑犯罪片《神探夏洛克》BD中英双字重制版,英国,犯罪/剧情/悬疑,2015-10-30(美国)
396,2015年张智霖陈乔恩爱情片《十月初五的月光》BD国粤双语中字,中国大陆,剧情/爱情,2015-11-20(中国大陆)/2015-11-12(香港)
397,2015年沈腾马丽喜剧片《一念天堂》HD国语中字,中国大陆,喜剧,2015-12-31(中国大陆)
398,2016年美国6.1分动作片《最后的巫师猎人》BD中英双字重制版,美国,动作/奇幻/冒险,2016-01-15(中国大陆)/2015-10-23(美国)
399,2015年白客杨子珊喜剧冒险片《万万没想到》HD中英双字,中国大陆,喜剧/奇幻/冒险/古装,2015-12-18(中国大陆)
400,2015年萧敬腾郭采洁喜剧爱情片《一路惊喜》BD国语中字, 中国大陆, 喜剧/爱情/家庭, 2015-02-06(中国大陆)
401,2015年美国7.1分剧情犯罪片《黑色弥撒》BD中英双字,美国,剧情/传记/犯罪,2015-09-04(威尼斯电影节)/2015-09-18(美国)
402,2015年美国6.4分动作犯罪片《通灵神探/安慰》BD中英双字,美国,动作/科幻/犯罪/悬疑,2015-09-09(多伦多电影节)/2016-01-14(中国大陆)
403,2015年美国6.7分喜剧剧情片《燃情主厨/天菜大厨》BD中英双字,美国,剧情/喜剧,"分　6.7/10 from 11,645 users"
404,2015年王宝强小沈阳喜剧科幻片《不可思异》BD中英双字, 中国大陆, 剧情/喜剧/科幻, 2015-12-04(中国大陆)
405,2015年陈学东李小璐喜剧片《从天儿降》BD中英双字, 中国大陆, 喜剧, 2015-12-04(中国大陆)
406,2015年宋芸桦喜剧爱情片《我的少女时代》BD国语中字,中国台湾,喜剧/爱情,2015-11-19(中国大陆)/2015-08-15(台湾)
407,2015年张翰陈乔恩喜剧爱情片《既然青春留不住》HD中英双字,中国大陆,喜剧/爱情,2015-10-23(中国大陆)
408,2015年李易峰杨幂喜剧爱情片《怦然星动》HD中英双字, 中国大陆, 喜剧/爱情, 2015-12-03(中国大陆)
409,2015年美国6.7分悬疑片《无理之人/情迷失控点》BD中英双字,美国,悬疑,2015-05-15(戛纳电影节)/2015-07-17(美国)
410,2015年陈柏霖孙艺珍动作悬疑片《坏蛋必须死》HD中英双字, 中国大陆/香港/韩国, 喜剧/动作/悬疑/犯罪, 2015-11-27(中国大陆)/2016-01-21(韩国)
411,2015年韩国7分爱情片《内在美/爱上变身情人》BD韩语中字,韩国,爱情,分　7.0/10 from 351 users
412,2015年陈建斌蒋勤勤喜剧冒险片《一个勺子》HD中英双字,中国大陆,剧情/喜剧/冒险,2014-11-16(金马影展)/2015-11-20(中国大陆)
413,2015年任贤齐舒淇喜剧爱情片《落跑吧爱情》BD国语中字,中国台湾,喜剧/爱情,分  5.3/10 from 15 users
414,2015年刘德华吴若甫剧情犯罪片《解救吾先生》BD国语中字,中国大陆,犯罪/剧情,2015-09-30(中国大陆)/2015-09-26(丝绸之路电影节)
415,2015年章子怡金城武爱情灾难片《太平轮(下)彼岸》BD国语中字,中国大陆/香港,剧情/爱情/灾难,2015-07-30(中国大陆)
416,2015年唐国强战争片《百团大战》BD中英双字,中国,战争,2015-08-28(中国大陆)
417,2015年美国7.3分喜剧片《实习生/高年级实习生》BD中英双字,美国,喜剧,2015-09-25(美国)
418,2014年连姆尼森7分动作惊悚片《空中营救》BD中英双字修复版,英国/法国/美国,动作/悬疑/惊悚,2014-02-28(美国)
419,2015年美国8分动作犯罪片《边境杀手/毒裁者》BD中英双字,美国,剧情/动作/犯罪,2015-10-02(美国)
420,2014年美国6.6分冒险片《博物馆奇妙夜3》BD中英双字修复版, 美国, 喜剧/奇幻/冒险, 2015-01-04(中国大陆)/2014-12-19(美国)
421,2015年郑恺郭采洁喜剧爱情片《前任2：备胎反击战》HD中英双字,中国大陆/香港,喜剧/爱情,2015-11-06(中国大陆)
422,2015年美国6分冒险奇幻片《小飞侠：幻梦启航》BD国英双语双字,美国/英国/澳大利亚,冒险/家庭/奇幻,"6.0/10 from 11,354 users"
423,2015年杨幂鹿晗悬疑犯罪片《我是证人/盲证》HD中英双字,中国大陆/韩国,剧情/悬疑/犯罪,2015-10-30(中国大陆)
424,2015年美国6.2分喜剧冒险片《假期历险记》BD中英双字,美国,喜剧/冒险,2015-07-29(美国)
425,2015年美国6.7分科幻惊悚片《移动迷宫2》BD国英双语双字,美国,动作/惊悚/科幻,2015-11-04(中国大陆)/2015-09-18(美国)/2015-09-10(澳大利亚)
426,2015年法国7.8分奇幻动画片《小王子》BD国法双语中字,法国,奇幻/动画, 2015-10-16(中国大陆)/2015-07-29(法国)
427,2015年古天乐郭采洁喜剧爱情片《巴黎假期》BD国粤双语中字,中国大陆/香港,喜剧/爱情,分  5.9/10 from 16 users
428,2015年俄罗斯6.3分剧情战争片《这里的黎明静悄悄》HD俄语中字,俄罗斯,剧情/战争, 2015-08-25(中国大陆)/2015-04-30(俄罗斯)
429,2015年美国动作犯罪片《代号47》BD中英双字,美国,剧情/动作/惊悚/犯罪,2015-08-21(美国)
430,2015年全智贤李政宰动作犯罪片《暗杀》BD韩语中字,剧情/动作/历史/犯罪,韩语/日语/汉语普通话,分  7.3/10 from 381 users
431,2015年美国7分喜剧剧情片《永远的北极熊》BD中英双字,美国,剧情/喜剧,2014-01-18(圣丹斯电影节)
432,2015年美国6.2分喜剧动作片《美式极端/废柴特务》BD中英双字,美国,喜剧/动作,2015-08-21(美国)
433,2015年休・杰克曼6.9分科幻片《超能查派》BD中英双字修复版,美国/墨西哥/南非,动作/科幻/惊悚,2015-03-06(美国)/2015-05-08(中国大陆)
434,2015年范冰冰黎明爱情片《王朝的女人杨贵妃》BD国语中字, 中国大陆, 爱情/古装, 2015-07-30(中国大陆)
435,2015年杨子姗陈柏霖爱情片《重返20岁》BD国语中字修复,中国大陆/韩国/台湾/香港,喜剧 / 爱情 / 冒险,2015-01-08(中国大陆)/2015-01-23(台湾)
436,2015年舒淇张震武侠古装片《刺客聂隐娘》BD国语中字, 台湾/中国大陆/香港/法国, 剧情/武侠/古装,"分  7.1/10 from 1,220 users"
437,2015年美国7.6分动作片《碟中谍5：神秘国度》BD国英双语双字,美国/香港/中国大陆,动作/惊悚/冒险,2015-09-08(中国大陆)/2015-07-31(美国)
438,2015年意大利7.5分剧情片《年轻气盛》BD中英双字,意大利/法国/瑞士/英国,剧情,2015-05-20(意大利)
439,2014年施瓦辛格动作片《破坏者/毒火追击》BD中英双字修复,美国,剧情/动作/犯罪,2014年3月28日（美国）　　　　　　2014年4月11日（台湾）　　　　　　2014年6月12日（香港）
440,2015年美国7.6分动作片《秘密特工/绅士密令》BD中英双字,美国,动作/冒险/喜剧,2015-08-14(美国)/2015-08-13(澳大利亚)
441,2015年宋承宪刘亦菲爱情片《第三种爱情》HD中英双字,中国大陆,爱情,2015-09-25(中国大陆)
442,2014年美国6.5分喜剧片《单亲度假村》BD中英双字修复版,美国,喜剧,2014-05-23(美国)
443,2015年美国动作科幻片《神奇四侠2015》BD中英双字,美国/英国/德国,动作/科幻/冒险,2015-08-07(美国)
444,周末经典邓超王珞丹悬疑犯罪片《烈日灼心》HD国语中字,中国大陆,剧情/悬疑/犯罪,分  6.9/10 from 171 users
445,2015年张雨绮权相佑喜剧爱情片《情敌蜜月》HD中英双字,中国大陆,喜剧/爱情, 2015-09-02(中国大陆)
446,2015年陈晓倪妮喜剧爱情片《新娘大作战》HD国语中字,中国大陆/香港,喜剧/爱情,2015-08-20(中国大陆)
447,2015年杨千�霉盘炖志缜槠�《可爱的你》HD国语中字,香港/中国大陆,剧情,2015-03-20(中国大陆)/2015-03-19(香港)/2015-04-02(台湾)
448,周末经典古天乐余文乐犯罪片《谜城/暴走迷城》BD国粤双语中字, 中国大陆/香港, 动作/惊悚/犯罪, 2015-07-30(中国大陆)/2015-08-20(香港)
449,2015年陈意涵杨佑宁古装爱情片《新步步惊心》HD中英双字,中国大陆,爱情/奇幻/古装,2015-08-07(中国大陆)
450,2015年美国科幻片《像素大战/世界大对战》BD国英双语双字,美国/中国大陆/加拿大,喜剧/动作/科幻,2015-07-24(美国)/2015-09-15(中国大陆)
451,2015年美国7.4分悬疑犯罪片《福尔摩斯先生》BD中英双字,英国/美国,剧情/悬疑/犯罪,2015-02-08(柏林电影节)/2015-06-19(英国)/2015-07-17(美国)
452,2015年美国7.2分科幻冒险片《侏罗纪世界》BD国英双语双字, 美国/中国大陆, 动作/科幻/冒险, 2015-06-10(中国大陆)/2015-06-12(美国)
453,2015年吴彦祖白百何喜剧爱情片《滚蛋吧！肿瘤君》BD中英双字,中国大陆,喜剧/爱情,2015-08-13(中国大陆)
454,周末经典吴京张晋动作犯罪片《杀破狼2》BD国粤双语中字,香港/中国大陆,剧情/动作/犯罪,2015-06-18(中国大陆)
455,2015年白百合井柏然喜剧奇幻片《捉妖记》BD国粤双语中字, 中国大陆, 喜剧/奇幻/古装, 2015-07-16(中国大陆)
456,2015年彭于晏王珞丹剧情运动片《破风》BD国粤双语中字, 中国大陆/香港, 剧情/运动, 2015-08-07(中国大陆)
457,2014年韩国7.7分剧情片《国际市场》BD韩语中字,韩国,剧情,分　7.7/10 from 655 users
458,2015年刘青云汤唯剧情爱情片《三城记》BD中英双字, 中国大陆/香港, 剧情/爱情,分  6.5/10 from 37 users
459,2015年道恩强森动作片《末日崩塌/加州大地震》BD国英双语双字,美国/澳大利亚,动作/冒险/灾难,2015-05-29(美国)/2015-06-02(中国大陆)
460,2015年周润发张艾嘉喜剧爱情片《华丽上班族》HD国语中字, 香港/中国大陆, 剧情/喜剧/爱情/歌舞, 2015-09-02(中国大陆)/2015-09-24(香港)
461,2015年美国6.6分科幻冒险片《明日世界》BD国英双语双字,美国/西班牙,动作/科幻/冒险,2015-05-22(美国)/2015-05-26(中国大陆)
462,2015年何冰悬疑剧情片《十二公民/12公民》HD中英双字, 中国大陆, 剧情/悬疑, 2015-05-15(中国大陆)/2014-10-19(罗马电影节)
463,2015年韩国7.1分喜剧爱情片《二十/二十行不行》BD韩语中字,韩国,喜剧/剧情/爱情,2015-03-25(韩国)
464,2015年多明星喜剧片《煎饼侠/�潘磕惺看蟮缬啊�HD中英双字, 喜剧,英语/粤语/汉语普通话,分  6.4/10 from 225 users
465,2015年吴亦凡王丽坤爱情《有一个地方只有我们知道》BD国语中字,中国大陆,爱情,2015-02-10(中国大陆)
466,2015年汤唯廖凡喜剧爱情片《命中注定》HD中英双字, 中国大陆/香港/美国, 喜剧/爱情, 2015-07-24(中国大陆)
467,2015年王珞丹周渝民悬疑片《宅女侦探桂香》HD国粤双语中字, 中国大陆/香港/台湾, 喜剧/爱情/悬疑,2015-08-13(中国大陆)
468,2015年美国6.8分历史奇幻片《故事的故事》BD中英双字,意大利/法国/英国,历史/奇幻,2015-05-14(意大利)
469,2014年刘青云黄晓明悬疑惊悚片《暴疯语》BD国粤双语中字,中国大陆/香港,悬疑/惊悚,2015-04-03(中国大陆)/2014-11-19(台北金马影展)
470,2015年古天乐杨千�镁缜槠�《可爱的你》BD国粤双语中字,中国香港,剧情, 2015-03-20(中国大陆)/2015-03-19(香港)/2015-04-02(台湾)
471,2015年孙红雷周冬雨剧情喜剧片《少年班》HD中英双字, 中国大陆, 剧情/喜剧, 2015-06-19(中国大陆)
472,2015年美国8.4分动作片《疯狂的麦克斯4：狂暴之路》BD中英双字,澳大利亚/美国,动作/科幻/冒险,2015-05-15(美国)/2015-05-14(澳大利亚)
473,2015年梁洛施张孝全剧情爱情片《念念》BD国语中字,中国台湾,剧情/爱情/家庭,2015-04-30(中国大陆)/2015-03-23(香港电影节)/2015-04-10(台湾)
474,2015年李易峰张慧雯爱情片《栀子花开》HD中英双字,中国大陆,爱情,分　3.5/10 from 31 users
475,2015年美国6.8分喜剧音乐片《完美音调2》BD中英双字,美国,喜剧/音乐,2015-05-15(美国)
476,2014年俄罗斯7.7分剧情片《利维坦/荒谬启示录》BD俄语中字,俄罗斯,剧情,"分  7.7/10 from 21,630 users"
477,2015年杨幂陈学冬喜剧爱情《小时代4：灵魂尽头》HD中英双字,中国大陆,喜剧/爱情,2015-07-09(中国大陆)
478,2015年陈坤李冰冰奇幻片《钟馗伏魔：雪妖魔灵》BD国语中字,中国大陆/香港/美国,动作/爱情/奇幻,2015-02-19(中国大陆)
479,2015年美国6.6分科幻动作片《分歧者2:绝地反击》BD中英双字,美国,动作/爱情/科幻/冒险,2015-06-19(中国大陆)/2015-03-20(美国)
480,2014年美国8.1动作片《X战警：逆转未来》BD中英双字加长版,美国,动作/科幻/奇幻/冒险,2014-05-23(美国/中国大陆)
481,2015年李敏镐金来阮动作片《江南1970》BD韩语中字,韩国,动作/剧情,2015-05(中国大陆)/2015-01-21(韩国)
482,2015年美国8分动作片《王牌特工:特工学院》BD国英双语双字,英国/美国,喜剧/动作/犯罪/冒险,2015-01-29(英国)/2015-03-27(中国大陆)
483,2015年李东学林心如喜剧片《大喜临门》BD国语中字,台湾/中国大陆,喜剧,2015-03-06(中国大陆)/2015-02-18(台湾)
484,2015年美国6.2分动作冒险片《最后的骑士》BD中英双字,美国/韩国,剧情/动作/冒险,2015-04-03(美国)
485,2015年吴京余男动作战争片《战狼/特种兵之战狼》BD国语中字,中国,动作/战争,2015-04-02(中国大陆)
486,2014年阮经天万茜爱情历史片《军中乐园》BD国语中字,台湾/中国大陆,剧情/爱情/历史,2014-09-05(台湾)
487,2015年美国7分动作片《饥饿游戏3:嘲笑鸟(上)》BD双语双字,美国,冒险/科幻,空
488,2015年美国6.7分喜剧犯罪片《焦点/决胜焦点》BD中英双字,美国,剧情/喜剧/犯罪,2015-02-27(美国)
489,2015年梁洛施张孝全爱情剧情《念念》HD中英双字,香港/台湾,剧情/爱情/家庭,分  6.8/10 from 63 users
490,2015年吴镇宇任达华犯罪动作片《冲锋车》BD国粤双语中字,中国香港,动作/犯罪,分　6.5/10 from 61 users
491,2015年成龙动作古装片《天将雄师/天将雄狮》BD中字,中国大陆/香港,动作/战争/古装,2015-02-19(中国大陆)
492,2015年美国动画片《海绵宝宝历险记:海绵出水》BD国粤英3语双字,美国,喜剧/动画/冒险/家庭,2015-02-06(美国)
493,2015年连姆尼森动作犯罪片《暗夜逐仇/一夜狂逃》BD中英双字,美国,剧情/动作/犯罪/悬疑/惊悚,2015-03-13(美国)
494,2014年朴有天金允石爱情惊悚片《海雾/怒海沉沦》BD韩语中字,韩国,剧情/爱情/惊悚,2014-08-13(韩国)
495,2014年美国7.2分悬疑恐怖片《它在身后/神秘追随》BD中英双字,美国,悬疑/恐怖,2015-03-27(美国)
496,2014年美国6.3分悬疑科幻片《超验骇客》BD国英双语双字,英国/中国/美国,剧情/悬疑/科幻,"分  6.3/10 from 137,574 users"
497,2015年美国7.3分爱情奇幻片《时光尽头的恋人》BD中英双字,美国,剧情/爱情,2015-04-24(美国)
498,2015年韩国6.8分剧情家庭片《许三观卖血记》BD韩语中字,韩国,剧情/家庭,2015-01-14(韩国)
499,2014年梁家辉林志玲悬疑片《谁是卧底之王牌》BD国语中字,中国大陆,剧情/悬疑,2014-12-31(中国大陆)
500,2015年韩庚范冰冰喜剧爱情片《万物生长》HD中英双字修复,中国大陆,喜剧/爱情,2015-04-17(中国大陆)
501,2014年加拿大8.2分喜剧片《鸟人/飞鸟侠》BD中英双字修复, 加拿大, 剧情/喜剧, 2014-11-14(美国)
502,2015年吴君如古天乐喜剧片《12金鸭/十二金鸭》BD粤语中字,中国香港,喜剧,2015-02-19(香港)
503,2015年陈都灵欧豪爱情片《左耳》HD中英双字,中国大陆,爱情,2015-04-24(中国大陆)
504,2015年冯绍峰窦骁剧情冒险片《狼图腾》BD国语中字,中国大陆/法国,剧情/冒险,2015-02-19(中国大陆)/2015-02-25(法国)
505,2015年美国科幻巨制大片《木星上行/木升战纪》BD国英双语双字,美国/英国,动作/科幻/冒险,2015-03-06(中国大陆)/2015-01-27(圣丹斯电影节)/2015-02-06(美国)
506,2015年姜武高圆圆爱情片《咱们结婚吧电影版》HD中英双字,中国,爱情,2015-04-02(中国大陆)
507,2014年美国7.4分动作战争片《美国狙击手》BD中英特效版,美国,动作/传记/战争,2014-11-11(AFI影展)/2015-01-16(美国)
508,2015年陈小春熊黛林喜剧爱情片《将错就错》HD中英双字,中国,喜剧/爱情,2015-03-05(中国大陆)
509,2014年美国7.5分剧情片《依然爱丽丝/勿忘我》BD中英双字, 美国/法国, 剧情, 2014-09-08(多伦多电影节)/2015-02-20(美国)
510,2015年古天乐郑秀文剧情爱情片《冲上云霄》BD国粤双语中字,香港/中国大陆,剧情/爱情,2015-02-19(香港/中国大陆)
511,2015年美国奇幻冒险片《第七子:降魔之战》BD国英双语双字,英国/美国/加拿大/中国大陆,冒险/家庭/奇幻/动作,2015-01-16(中国大陆)/2014-12-17(法国)/2015-02-06(美国)
512,2015年美国喜剧动作片《贵族大盗/华丽怪盗》BD中英双字,美国/英国,喜剧/动作,2015-01-23(美国)/2015-04-17(中国大陆)
513,2014年刘承龙李贞贤动作传记片《鸣梁海战》BD中字完整版,韩国,剧情/动作/传记/战争/冒险,2014-12-12(中国大陆)/2014-07-30(韩国)
514,2014年韩国6.6分剧情犯罪片《好朋友们》HD韩语中字,韩国,剧情/犯罪,2014-07-10(韩国)
